# <algo_id>, <set_1>, <set_2>, <set_3>, <set_4>, <set_5>, <set_6>, <set_7>, <set_8>, <set_9>, <set_10>, <set_11>, <set_12>, <set_13>
-1, -3, -2, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
0, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
1, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
2, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
3, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
4, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
5, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
6, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
7, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
8, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
9, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
10, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
11, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
12, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
13, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
14, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
15, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
16, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
17, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
18, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
19, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
20, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
21, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
22, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
23, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
24, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
25, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
26, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
27, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
28, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
29, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
30, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
31, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
32, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
33, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
34, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
35, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
36, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
37, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
38, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
39, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
40, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
41, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
42, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
43, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
44, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
45, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
46, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
47, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
48, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
49, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
50, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
51, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
52, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
53, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
54, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
55, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
56, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
57, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
58, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
59, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
60, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
61, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
62, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
63, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
64, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
65, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
66, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
67, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
68, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
69, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
70, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
71, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
72, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
73, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
74, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
75, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
76, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
77, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
78, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
79, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
80, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
81, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
82, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
83, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
84, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
85, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
86, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
87, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
88, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
89, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
90, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
91, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
92, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
93, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
94, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
95, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
96, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
97, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
98, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
99, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
100, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
101, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
102, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
103, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
104, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
105, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
106, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
107, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
108, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
109, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
110, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
111, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
112, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
113, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
114, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
115, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
116, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
117, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
118, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
119, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
120, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
121, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
122, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
123, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
124, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
125, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
126, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
127, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
128, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
129, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
130, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
131, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
132, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
133, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
134, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
135, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
136, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
137, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
138, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
139, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
140, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
141, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
142, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
143, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
144, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
145, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
146, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
147, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
148, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
149, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
150, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
151, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
152, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
153, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
154, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
155, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
156, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
157, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
158, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
159, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
160, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
161, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
162, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
163, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
164, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
165, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
166, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
167, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
168, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
169, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
170, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
171, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
172, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
173, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
174, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
175, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
176, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
177, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
178, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
179, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
180, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
181, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
182, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
183, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
184, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
185, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
186, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
187, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
188, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
189, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
190, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
191, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
192, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
193, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
194, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
195, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
196, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
197, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
198, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
199, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
200, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
201, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
202, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
203, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
204, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
205, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
206, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
207, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
208, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
209, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
210, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
211, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
212, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
213, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
214, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
215, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
216, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
217, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
218, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
219, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
220, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
221, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
222, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
223, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
224, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
225, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
226, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
227, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
228, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
229, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
230, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
231, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
232, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
233, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
234, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
235, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
236, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
237, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
238, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
239, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
240, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
241, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
242, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
243, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
244, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
245, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
246, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
247, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
248, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
249, 0, 1, 1, 2, 10, 2, 1, 1, 6, 4, 10, 2, 1
250, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
251, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
252, 0, 1, 1, 2, 10, 2, 1, 3, 1, 4, 10, 2, 1
253, 0, 1, 1, 2, 10, 2, 1, 1, 6, 1, 10, 2, 1
254, 0, 1, 1, 2, 10, 2, 1, 3, 1, 1, 10, 2, 1
